Section,Metric,Value,Unit,Status,Source,Notes
"A. Deployment evidence (On Country, actuals)",Total beds deployed,540,beds,verified,"assets register (Supabase cwsyhpiuepvdjtxaozwf), Ben rulings 2026-07-19",Live register = canon. 363 Basket + 177 Stretch.
"A. Deployment evidence (On Country, actuals)",Stretch beds deployed,177,beds,verified,assets register; asset-canonical.ts,Flagship product. Each diverts 20kg HDPE.
"A. Deployment evidence (On Country, actuals)",Basket beds deployed,363,beds,verified,assets register; asset-canonical.ts,"First-gen product, now open-sourced. Not a plastic product."
"A. Deployment evidence (On Country, actuals)",Washing machines in community,22,units,verified,Ben ruling 2026-07-21; per-community map in asset-canonical.ts,"Maningrida 8, Tennant Creek 9, Palm Island 4, Alice Springs 1, Darwin 0. Register holds 32 deployed rows (10 stale awaiting retire)."
"A. Deployment evidence (On Country, actuals)",HDPE plastic diverted,3540,kg,derived,177 Stretch x 20kg (asset-canonical.ts),Stretch beds only. Basket beds excluded (not plastic).
"A. Deployment evidence (On Country, actuals)",Beds MADE IN-HOUSE at farm production facility,40,Stretch beds,verified,Maningrida INV-0303; Ben ruling 2026-07-23,"FACTORY PATH PROVEN, not modelled from zero: HDPE legs shredded + hot-pressed + CNC-routed on our own plant, then assembled, end-to-end at the farm. Deployed to Maningrida."
"A. Deployment evidence (On Country, actuals)",Communities served (with a deployed bed),11,communities,verified,assets register,12 distinct communities touched.
"A. Deployment evidence (On Country, actuals)",Distinct communities touched,12,communities,verified,asset-canonical.ts,Served-with-a-bed = 11.
A1. Beds by community (Basket + Stretch),Utopia / Urapuntja,147 (60 Basket + 87 Stretch),beds,verified,register; 10-community-counts.md,Utopia confirmed 147 (Community OS 169 was wrong).
A1. Beds by community (Basket + Stretch),Tennant Creek,160 (130 Basket + 30 Stretch),beds,verified,register; GB0-160 youth centre +1 Stretch,Incl. youth-centre bed GB0-160.
A1. Beds by community (Basket + Stretch),Palm Island,131 (131 Basket + 0 Stretch),beds,verified,register,
A1. Beds by community (Basket + Stretch),Maningrida,58 (18 Basket + 40 Stretch),beds,verified,register; INV-0303 (40 Stretch final),
A1. Beds by community (Basket + Stretch),Kalgoorlie,20 (20 Basket + 0 Stretch),beds,verified,register,
A1. Beds by community (Basket + Stretch),Alice Springs / Oonchiumpa,16 (1 Basket + 15 Stretch),beds,verified,register,
A1. Beds by community (Basket + Stretch),Canberra,2 (0 Basket + 2 Stretch),beds,verified,register,
A1. Beds by community (Basket + Stretch),Mount Isa,2 (2 Basket + 0 Stretch),beds,verified,register,
A1. Beds by community (Basket + Stretch),Darwin,1 (1 Basket + 0 Stretch),beds,verified,register,
A1. Beds by community (Basket + Stretch),Kununurra,2 (0 Basket + 2 Stretch),beds,verified,register GB0-158; Ben ruling 2026-07-19,Recipient Aunty Jean O'Reera. Story consent held; counting separate.
A1. Beds by community (Basket + Stretch),Katherine,1 (0 Basket + 1 Stretch),beds,verified,register GB0-159; delivered by Nic,
"B. Bill of materials, per bed (Buy-Kit path)","HDPE plastic kit (legs, cut & finished)",344.05,AUD/bed,verified,Defy INV-1602 (92 kits) + INV-1732 (50 kits),THE swing number. Sydney-priced finished part. Raw floor ~$40-55.
"B. Bill of materials, per bed (Buy-Kit path)","Steel poles x2 (galv, 26.9mm OD)",27.00,AUD/bed,verified,"DNA Steel Direct, Alice Springs; Notion BOM StretchBed v2","Quote valid to 31 Dec 2026. Invoices in Notion, not Xero mirror."
"B. Bill of materials, per bed (Buy-Kit path)",Canvas sleeping surface (cut+hemmed+sewn),93.50,AUD/bed,verified,"Centre Canvas, Alice Springs; 3 invoices 2026, 270 covers","Valid to 31 Dec 2026. $14,915 retag ACT-IN->ACT-GD pending; doesn't change rate."
"B. Bill of materials, per bed (Buy-Kit path)",End caps (4 x $0.80),3.20,AUD/bed,verified,Hardware supplier,
"B. Bill of materials, per bed (Buy-Kit path)",Frame screws (16 x $0.065),1.04,AUD/bed,verified,Coastal Fasteners Xero RB20247673190,
"B. Bill of materials, per bed (Buy-Kit path)",Frame bolts (2 x ~$0.50 M8),1.00,AUD/bed,inferred,Coastal Fasteners; rate estimated,Only inferred BOM line; pending line-item OCR.
"B. Bill of materials, per bed (Buy-Kit path)",Direct materials total (Buy-Kit),469.79,AUD/bed,verified,sum of BOM rows (1 line inferred),Materials only. NOT a margin figure - add labour+freight.
"B. Bill of materials, per bed (Buy-Kit path)",Hardware subtotal (caps+screws+bolts),5.24,AUD/bed,verified,01-bill-of-materials.md,
B1. Raw inputs (if pressing in-house),"HDPE shred, 20kg @ $2.75/kg landed",55.00,AUD/bed,verified,Defy INV-1731 ($2.00/kg shred + $0.75/kg delivery),OPEN: GoC Q&A Q10 says $1-2/kg x 25kg - reconcile qty AND rate before investor use.
B1. Raw inputs (if pressing in-house),"Defy pre-pressed panel (each, x2)",200.00,AUD/bed-panel,verified,"Defy INV-1731, 20 panels bulk",Panels path = $400/bed plastic. Worst value - avoid.
C. Cost per bed by build path (direct),Buy-Kit (today) - direct total,534.79,AUD/bed,modelled,03-cost-model; full-cost-figures,Plastic $344.05 + steel $27 + canvas $93.50 + hw $5.24 + labour $40 + local freight $25. (Matt Inputs uses $684.79 marginal.)
C. Cost per bed by build path (direct),Buy-Panels - direct total,584.07,AUD/bed,modelled,03-cost-model,"Avoid - pay press margin, still finish."
C. Cost per bed by build path (direct),Factory in-house - direct total,275.74,AUD/bed,modelled (process proven),03-cost-model; Maningrida INV-0303,Plastic $55 + steel $27 + canvas $93.50 + hw $5.24 + diesel $15 + labour $80. PROCESS PROVEN via the 40-bed Maningrida in-house run; per-bed cost still modelled pending measured run actuals (time/diesel/yield).
C. Cost per bed by build path (direct),Community-owned - direct total,270.74,AUD/bed,modelled (future path),03-cost-model,"Free plastic $0 + $130 fair-wage labour. ~parity with Factory (NOT cheaper). ON-COUNTRY community production not yet done (farm run proves in-house pressing, not remote community production)."
C. Cost per bed by build path (direct),Community labour band,100-160 (default 130),AUD/bed,modelled,full-cost-figures,At band edges community direct = $240.74-$300.74.
D. Marginal cost & contribution at $750,Selling price per bed,750,AUD/bed,verified,shop stretch-bed-single; held flat in model,Same price across all paths.
