score,lanes,title,url,source,amountHint,dueDateHint,statusHint,geographyHint,entityHint,whyGoods,nextAction,crmSuggestion,riskFlags,foundVia
60,Philanthropy,"Strengthening First Nations-led organisations in regional and remote QLD, SA, TAS, and the NT",https://www.paulramsayfoundation.org.au/news-resources/strengthening-first-nations-led-organisations-in-regional-and-remote-queensland-south-australia-tasmania-and-the-northern-territory,paulramsayfoundation.org.au,$6 m,Unknown,Unknown,Northern Territory; Queensland; South Australia; remote; regional,First Nations-led/control,"Matched: First Nations, Torres Strait, remote, regional, Northern Territory","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.paulramsayfoundation.org.au/
59,Indigenous and business loans,Indigenous Business Grants Australia 2026 | Funding & Support Guide - Grants Assist,https://www.australiangrants.org/indigenous-business-funding-and-grants,australiangrants.org,$10k; $100k,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: Aboriginal, Torres Strait, Indigenous, indigenous, business, loans","Check ownership/control requirements and structure the ask around equipment, working capital, buyer orders, and repayment source.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,search: Australia Indigenous business loan manufacturing equipment working capital | search: IBA business finance social enterprise manufacturing equipment | search: Indigenous business loan remote community manufacturing Australia | search: recoverable grant social enterprise Indigenous Australia
58,Government grants,Grants and funding - qld.gov.au,https://www.qld.gov.au/firstnations/grants-funding,qld.gov.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: Aboriginal, Torres Strait, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: Queensland grant social enterprise equipment First Nations manufacturing
57,Government grants,Grants | Indigenous,https://www.indigenous.gov.au/grants,indigenous.gov.au,Unknown,no set closing date,Rolling / no set close,Unknown,Business/social enterprise,"Matched: First Nations, Indigenous, government, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source: https://www.indigenous.gov.au/grants | source link: https://www.indigenous.gov.au/grants | search: Australia grant remote First Nations social enterprise manufacturing | search: Queensland grant social enterprise equipment First Nations manufacturing | search: Australia foundation grants First Nations remote communities social enterprise
55,Government grants,"Indigenous, NFP and Social Enterprise Grants | Avant Group",https://avantgroup.com.au/indigenous-nfp-social-grants,avantgroup.com.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: Aboriginal, Torres Strait, Indigenous, social enterprise, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Amount not found in sweep; Eligibility entity not found in sweep,search: Australia grant remote First Nations social enterprise manufacturing | search: Queensland grant social enterprise equipment First Nations manufacturing | search: Australia foundation grants First Nations remote communities social enterprise
55,Indigenous and business loans,Supply Nation | Australia's largest national directory of Indigenous businesses,https://supplynation.org.au,supplynation.org.au,Unknown,Unknown,Unknown,national,Business/social enterprise,"Matched: Aboriginal, Torres Strait, Indigenous, indigenous, business","Check ownership/control requirements and structure the ask around equipment, working capital, buyer orders, and repayment source.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: First Nations business finance Australia working capital equipment
53,Indigenous and business loans,Business Finance - Indigenous Business Australia,https://iba.gov.au/business/finance,iba.gov.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: Indigenous, indigenous, business","Check ownership/control requirements and structure the ask around equipment, working capital, buyer orders, and repayment source.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,search: Australia Indigenous business loan manufacturing equipment working capital | search: IBA business finance social enterprise manufacturing equipment | search: Indigenous business loan remote community manufacturing Australia
53,Indigenous and business loans,Business Loan - Indigenous Business Australia,https://iba.gov.au/business/finance/business-loan,iba.gov.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: Indigenous, indigenous, business","Check ownership/control requirements and structure the ask around equipment, working capital, buyer orders, and repayment source.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,search: Australia Indigenous business loan manufacturing equipment working capital
53,Indigenous and business loans,Business Loan Package | business.gov.au,https://business.gov.au/grants-and-programs/Business-Loan-Package,business.gov.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Matched: business,"Check ownership/control requirements and structure the ask around equipment, working capital, buyer orders, and repayment source.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,search: Australia Indigenous business loan manufacturing equipment working capital
52,Impact finance,PDF The Indigenous Business Sectory Strategy - NIAA,https://www.niaa.gov.au/sites/default/files/documents/publications/ibss_strategy.pdf,niaa.gov.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Matched: Indigenous,"Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep; Eligibility entity not found in sweep,search: impact investment Indigenous enterprise working capital Australia
